Player,Nation,Pos,Sec_Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Leon Bailey,JAM,FW,,Aston Villa,1997,8,6,526,5.8,1,1,2,1,0,0,1,0,0.7,0.7,2,2.7,22,13,39,0.17,0.17,0.34,0.17,0.34,0.13,0.34,0.46,0.13,0.46
Stefan Bajcetic,ESP,MF,,RB Salzburg,2004,6,1,205,2.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,11,4,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06
Esmir Bajraktarevic,BIH,FW,,PSV Eindhoven,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenan Bajrić,SVN,DF,MF,Slovan Bratislava,1994,8,8,713,7.9,0,0,0,0,0,0,2,0,0,0,0,0,6,17,3,0,0,0,0,0,0,0,0,0,0
Johan Bakayoko,BEL,FW,MF,PSV Eindhoven,2003,12,9,858,9.5,2,1,3,2,0,0,1,0,1.8,1.8,1.7,3.5,60,24,123,0.21,0.1,0.31,0.21,0.31,0.2,0.18,0.38,0.2,0.38
Mitchel Bakker,NED,FW,DF,Lille ,2000,8,5,420,4.7,1,1,2,1,0,0,1,0,0.5,0.5,0.5,1,9,25,26,0.21,0.21,0.43,0.21,0.43,0.11,0.1,0.21,0.11,0.21
Alejandro Balde,ESP,DF,,Barcelona ,2003,10,9,803,8.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,28,24,63,0,0.22,0.22,0,0.22,0.02,0.06,0.08,0.02,0.08
David von Ballmoos,SUI,GK,,Young Boys,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin Balogun,USA,FW,,Monaco ,2001,3,0,94,1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,9,0,0,0,0,0,0.19,0.09,0.29,0.19,0.29
Bradley Barcola,FRA,FW,,Paris S-G,2002,17,14,"1,087",12.1,3,4,7,3,0,0,1,0,6,6,3.8,9.8,61,25,177,0.25,0.33,0.58,0.25,0.58,0.5,0.31,0.81,0.5,0.81
Nicolò Barella,ITA,MF,,Inter ,1997,13,11,992,11,0,2,2,0,0,0,2,0,0.4,0.4,1.8,2.3,20,69,38,0,0.18,0.18,0,0.18,0.04,0.17,0.21,0.04,0.21
Ross Barkley,ENG,MF,,Aston Villa,1993,6,0,103,1.1,1,0,1,1,0,0,1,0,0,0,0,0.1,0,6,0,0.87,0,0.87,0.87,0.87,0.03,0.04,0.07,0.03,0.07
Leandro Barreiro Martins,LUX,MF,,Benfica ,2000,9,2,267,3,0,0,0,0,0,0,2,0,0.7,0.7,0.3,1,0,7,3,0,0,0,0,0,0.24,0.1,0.34,0.24,0.34
Pablo Barrios,ESP,MF,,Atlético Madrid,2003,6,6,431,4.8,0,0,0,0,0,0,1,1,0.1,0.1,0.2,0.3,3,32,1,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07
Tigran Barseghyan,ARM,FW,MF,Slovan Bratislava,1993,8,7,549,6.1,1,2,3,1,0,0,2,0,1.5,1.5,1.7,3.2,18,28,29,0.16,0.33,0.49,0.16,0.49,0.24,0.28,0.52,0.24,0.52
